Delito,Victimas_Masc,Victimas_Fem,Victimas_Si
Abusosexualconaccesocarnal,543,4933,684
Homicidiosdoloso,1673,355,0
Suicidioconsumados,2276,825,57
Tratadepersonassimple,84,190,154
