
======== 2018 ========
Provincia,Hechos
CABA,13207
Buenos Aires,85582
Catamarca,6799
Cordoba,49907
Corrientes,4155
Chaco,5321
Chubut,5730
Entre Rios,10081
Formosa,5972
Jujuy,4685
La Pampa,1842
La Rioja,3227
Mendoza,14295
Misiones,4966
Neuquen,4007
Rio Negro,5045
Salta,16401
San Juan,3844
San Luis,3398
Santa Cruz,2519
Santa Fe,29882
Santiago del Estero,9849
Tucuman,12707

======================
