Delito,Victimas_Masc,Victimas_Fem,Victimas_Si
Abusosexualconaccesocarnal,310,2958,516
Homicidiosdoloso,1890,289,0
Suicidioconsumados,2910,761,1
Tratadepersonassimple,69,107,30
