
======== 2023 ========
Provincia,Hechos
CABA,12302
Buenos Aires,139688
Catamarca,4266
Cordoba,47470
Corrientes,4998
Chaco,6744
Chubut,6820
Entre Rios,8997
Formosa,6078
Jujuy,7767
La Pampa,3056
La Rioja,3435
Mendoza,39294
Misiones,6419
Neuquen,5035
Rio Negro,5288
Salta,24214
San Juan,6447
San Luis,4056
Santa Cruz,3170
Santa Fe,22342
Santiago del Estero,3142
Tucuman,10712

======================
