provincia_id;provincia_nombre;anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2;Buenos Aires;2023;2;Abuso sexual simple;1163;5099;678;4400;21;23.077126;28.265736;7.653.854;47.940617
2;Buenos Aires;2018;3;Abusos sexuales con acceso carnal (violaciones);1346;1346;39;1237;0;7.827.224;7.827.224;1.2927204;1.113.649
2;Buenos Aires;2020;3;Abusos sexuales con acceso carnal (violaciones);1924;1925;265;1651;9;39.685;39.742;3.0786972;18.480783
2;Buenos Aires;2023;3;Abusos sexuales con acceso carnal (violaciones);2211;2242;220;2020;2;12.422732;12.428276;2.4826531;2.200.932
2;Buenos Aires;2023;4;Ciberdelitos sexuales vinculados a menores;53;55;0;4;51;.29379958;.30488634;0;.04358238
2;Buenos Aires;2018;6;Homicidios culposos por otros hechos;62;65;39;26;0;.36054066;.37798619;.462533;.29664907
2;Buenos Aires;2020;6;Homicidios culposos por otros hechos;99;118;67;46;5;.56438744;.67270422;.77838761;.5490974
2;Buenos Aires;2023;6;Homicidios culposos por otros hechos;87;39;68;38;3;.48227477;.60422933;.76736546;.4403261
2;Buenos Aires;2018;7;Homicidios dolosos;951;992;847;45;0;5.5302286;5.7686505;3.045.268;1.654389
2;Buenos Aires;2020;7;Homicidios dolosos;915;931;792;139;0;5.2163081;5.3075223;9.2012386;1.555923
2;Buenos Aires;2023;7;Homicidios dolosos;805;829;700;129;0;4.4624276;4.5954685;7.8993506;1.4055318
2;Buenos Aires;2018;8;Homicidios dolosos en grado de tentativa;771;846;666;49;31;4.4834976;4.9196353;7.8986402;1.7000273
2;Buenos Aires;2020;8;Homicidios dolosos en grado de tentativa;760;811;669;137;35;4.3326712;4.7944431;7.7722583;1.5335356
2;Buenos Aires;2023;8;Homicidios dolosos en grado de tentativa;721;796;578;199;19;3.9967828;41.125.371;6.5226064;2.1682234
2;Buenos Aires;2018;9;Lesiones culposas en Accidentes Viales;38516;4442;29567;13364;1211;223.97716;256.69333;350.6593;152.47762
2;Buenos Aires;2020;9;Lesiones culposas en Accidentes Viales;25408;28799;2044;8377;8;4.484.805;164.17975;237.16425;93.769547
2;Buenos Aires;2023;9;Lesiones culposas en Accidentes Viales;34909;40401;24480;4686;1235;1.935.113;223.95842;276.25159;160.01271
2;Buenos Aires;2018;10;Lesiones culposas por otros hechos;913;960;388;557;15;5.3092518;5.5825653;4.601.632;6.3551359
